Location,Strain,Habitat,Latitude,Longitude,Mean_annual_temperature,Mean_precipitation_driest_quarter,Mean_precipitation_wettest_quarter,Mean_annual_precipitation
Arizona,PC151,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC152,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC153,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC154,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC156,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC157,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC163,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC166,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC167,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC168,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,PC169,Sonoran Desert,32.72,-110.64,19.5,5,57,31
Arizona,LG0637,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0647,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0650,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0660,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0661,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0672,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0673A,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0673B,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0674,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0677,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0679,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0680,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0681,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0685,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0686,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0688,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0689,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0693,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0694,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0696,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0697,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0699,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0700,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0707,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0716,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0723,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0783,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0784,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0785,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0786,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0806,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0871,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG0966,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1180,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1182,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1189,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1190,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1210,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1244,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1271,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1318,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1346,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1350,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1396,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1406,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1413,Sonoran Desert,32.89,-111.74,21.4,2,38,19
Arizona,LG1107,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1109,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1110,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1111,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1112,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1126,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1127,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1129,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1130,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1131,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1133,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1162,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1225,Sonoran Desert,32.49,-110.91,17.6,8,73,37
Arizona,LG1252,Sonoran Desert,32.49,-110.91,17.6,8,73,37
