"","ln_richness","Location","Latitude","Longitude","Mean_annual_temperature","Mean_precipitation_driest_quarter","Mean_precipitation_wettest_quarter","Mean_annual_precipitation"
"ln_richness",0,2.09722557865788e-199,2.80507018989724e-35,2.04941169824715e-86,0.0799673401408254,5.8341408873565e-107,5.43936808130213e-05,2.57903921415457e-06
"Location",9.53284353935398e-201,0,2.12877578657734e-228,0,5.79057970865286e-37,6.05278391776234e-172,2.61132346221655e-36,0.0799673401408254
"Latitude",2.80507018989724e-36,9.25554689816237e-230,0,0,4.30707193158172e-101,7.06112625652763e-121,3.7378244857063e-06,2.42863486476775e-34
"Longitude",1.57647053711319e-87,0,0,0,1.43154004798501e-92,2.04964475638168e-167,1.5485777527943e-17,2.51926796317846e-15
"Mean_annual_temperature",0.0399836700704127,4.82548309054405e-38,2.87138128772114e-102,1.02252860570358e-93,0,0,2.75577080933607e-107,6.61695756983791e-262
"Mean_precipitation_driest_quarter",3.64633805459781e-108,2.8822780560773e-173,3.92284792029313e-122,1.02482237819084e-168,0,0,5.32542674520897e-19,5.54243464552158e-131
"Mean_precipitation_wettest_quarter",1.81312269376738e-05,2.37393042019687e-37,9.34456121426576e-07,2.21225393256328e-18,1.62104165255063e-108,6.65678343151121e-20,0,0
"Mean_annual_precipitation",5.15807842830913e-07,0.0625081979636514,2.69848318307528e-35,4.19877993863076e-16,2.75706565409913e-263,2.91707086606399e-132,0,0
