Strain,Project,Site,Species,Host family (plant) or order or class (lichen),Plant or Lichen host,Site-Host
SO_03056,Chile,Aguada,Nolana incana,Solanaceae,Plant-angiosperm,Aguada_Plant-angiosperm
SO_03022,Chile,Ester's cabin,Nolana divaricata,Solanaceae,Plant-angiosperm,Ester's cabin_Plant-angiosperm
SO_03024,Chile,Ester's cabin,Nolana divaricata,Solanaceae,Plant-angiosperm,Ester's cabin_Plant-angiosperm
SO_03025,Chile,Ester's cabin,Nolana divaricata,Solanaceae,Plant-angiosperm,Ester's cabin_Plant-angiosperm
SO_03026,Chile,Ester's cabin,Nolana divaricata,Solanaceae,Plant-angiosperm,Ester's cabin_Plant-angiosperm
SO_03027,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03029,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03030,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03031,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03032,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03033,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03034,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03035,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03036,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03037,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03038,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03039,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03040,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03041,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03042,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03044,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03046,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03047,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03048,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03050,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03052,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03053,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03054,Chile,Ester's cabin,Ephedra breana,Ephedraceae,Plant-gnetophyte,Ester's cabin_Plant-gnetophyte
SO_03055,Chile,Ester's cabin,Ephedra breana,Ephedraceae,Plant-gnetophyte,Ester's cabin_Plant-gnetophyte
SO_03000,Chile,Lo Prado,Lithraea caustica,Anacardiaceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03001,Chile,Lo Prado,Baccharis linearis,Asteraceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03002,Chile,Lo Prado,Baccharis linearis,Asteraceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03003,Chile,Lo Prado,Catagoniopsis berteroana,Brachytheciaceae,Plant-bryophyte,Lo Prado_Plant-bryophyte
SO_03004,Chile,Lo Prado,Catagoniopsis berteroana,Brachytheciaceae,Plant-bryophyte,Lo Prado_Plant-bryophyte
SO_03005,Chile,Lo Prado,Chusquea cumingii,Poaceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03006,Chile,Lo Prado,Chusquea cumingii,Poaceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03007,Chile,Lo Prado,Chusquea cumingii,Poaceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_04071,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04072,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04073,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04074,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04075,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04076,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04077,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04078,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04079,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04080,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04081,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04082,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04084,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04085,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04086,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04087,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04088,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04089,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04090,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04091,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04092,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04093,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04094,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04095,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04096,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_03058,Chile,Lomitas,Bakerolimon plumosum,Plumbaginaceae,Plant-angiosperm,Lomitas_Plant-angiosperm
SO_03059,Chile,Lomitas,Bakerolimon plumosum,Plumbaginaceae,Plant-angiosperm,Lomitas_Plant-angiosperm
SO_03060,Chile,Lomitas,Bakerolimon plumosum,Plumbaginaceae,Plant-angiosperm,Lomitas_Plant-angiosperm
SO_03061,Chile,Lomitas,Bakerolimon plumosum,Plumbaginaceae,Plant-angiosperm,Lomitas_Plant-angiosperm
SO_03062,Chile,Lomitas,Bakerolimon plumosum,Plumbaginaceae,Plant-angiosperm,Lomitas_Plant-angiosperm
SO_03063,Chile,Lomitas,Bakerolimon plumosum,Plumbaginaceae,Plant-angiosperm,Lomitas_Plant-angiosperm
SO_03064,Chile,Lomitas,Bakerolimon plumosum,Plumbaginaceae,Plant-angiosperm,Lomitas_Plant-angiosperm
SO_03065,Chile,Lomitas,Bakerolimon plumosum,Plumbaginaceae,Plant-angiosperm,Lomitas_Plant-angiosperm
SO_03067,Chile,Lomitas,Bakerolimon plumosum,Plumbaginaceae,Plant-angiosperm,Lomitas_Plant-angiosperm
SO_04832,Chile,Lomitas,Lichen on gravel,,Lichen,Lomitas_Lichen
SO_04833,Chile,Lomitas,Lichen on gravel,,Lichen,Lomitas_Lichen
SO_04834,Chile,Lomitas,Lichen on gravel,,Lichen,Lomitas_Lichen
SO_04835,Chile,Lomitas,Lichen on gravel,,Lichen,Lomitas_Lichen
SO_04836,Chile,Lomitas,Lichen on gravel,,Lichen,Lomitas_Lichen
SO_03008,Chile,Pan de Azucar,Nolana incana,Solanaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_03009,Chile,Pan de Azucar,Polypodium espinosae,Polypodiaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_03010,Chile,Pan de Azucar,Polypodium espinosae,Polypodiaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_03011,Chile,Pan de Azucar,Polypodium espinosae,Polypodiaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_03012,Chile,Pan de Azucar,Polypodium espinosae,Polypodiaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_03013,Chile,Pan de Azucar,Polypodium espinosae,Polypodiaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_03014,Chile,Pan de Azucar,Polypodium espinosae,Polypodiaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_03015,Chile,Pan de Azucar,Polypodium espinosae,Polypodiaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_03017,Chile,Pan de Azucar,Polypodium espinosae,Polypodiaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_03019,Chile,Pan de Azucar,Polypodium espinosae,Polypodiaceae,Plant-angiosperm,Pan de Azucar_Plant-angiosperm
SO_04055,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04056,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04057,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04058,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04059,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04060,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04061,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04062,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04063,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04064,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04065,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04066,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04067,Chile,Pan de Azucar,Roccelinastrum spongioidium,,Lichen,Pan de Azucar_Lichen
SO_04068,Chile,Pan de Azucar,Chrysothrix granulosa,,Lichen,Pan de Azucar_Lichen
SO_04069,Chile,Pan de Azucar,Chrysothrix granulosa,,Lichen,Pan de Azucar_Lichen
FXA047,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA048,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA049,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA051,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA052,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA054,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA058,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0152,Arizona,Tucson Mountains,Ambrosia deltoidea,Asteraceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0572,Arizona,Tucson Mountains,Trixis californica,Asteraceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0757,Arizona,"Tucson, First/River/CAC",Baccharis sarothroides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA026,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA027,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA028,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA029,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA032,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA039,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA041,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
FXA042,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0730,Arizona,Tucson Mountains,Ambrosia deltoidea,Asteraceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0731,Arizona,Tucson Mountains,Ambrosia deltoidea,Asteraceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0732,Arizona,Tucson Mountains,Ambrosia deltoidea,Asteraceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0733,Arizona,Tucson Mountains,Ambrosia deltoidea,Asteraceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0734,Arizona,Tucson Mountains,Ambrosia deltoidea,Asteraceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
SY0001A,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0002B1,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0003A1,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0003B,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0004E1,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0005,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0006,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0007A,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0017,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0018,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0019,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0020,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0021,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0022A,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0028,Arizona,"Tucson, Swan/Rillito",Lactuca serriola,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0029,Arizona,"Tucson, Swan/Rillito",Lactuca serriola,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0030,Arizona,"Tucson, Swan/Rillito",Lactuca serriola,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0031,Arizona,"Tucson, Swan/Rillito",Lactuca serriola,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0031A,Arizona,"Tucson, Swan/Rillito",Lactuca serriola,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0033,Arizona,"Tucson, Swan/Rillito",Lactuca serriola,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0034,Arizona,"Tucson, Swan/Rillito",Lactuca serriola,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0070A,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0072,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0073B1,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0074,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0075,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0075A,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0078B,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0079,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0080B,Arizona,"Tucson, Swan/Rillito",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0297,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0304,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0305,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0306,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0507A,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0508A2,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0520A,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0521A,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0522A,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0528,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0561A,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0564,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0566,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0567,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0568A,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0571,Arizona,"Tucson, First/River/CAC",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY0639A,Arizona,"Tucson, Grant/Santa Cruz",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0640,Arizona,"Tucson, Grant/Santa Cruz",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0643,Arizona,"Tucson, Grant/Santa Cruz",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0644A,Arizona,"Tucson, Grant/Santa Cruz",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0655A,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0657A,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0658A,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0660,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0661A,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0661B,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0663A,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0664,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0666A,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0667,Arizona,"Tucson, Grant/Santa Cruz",Verbesina encelioides,Asteraceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0780,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0783,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0784,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0785,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0786A,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0789,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0793,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0794,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0797A,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0798A,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0802A,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0803A,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0805,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0809,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0811,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0812,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0817,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0818A,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0822,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0826A,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY0827,Arizona,"Tucson, Swan/Rillito",Machaeranthera sp.,Asteraceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
