Strain,Project,Site,Species,Host family (plant) or order or class (lichen),Plant or Lichen host,Site-Host
LG0904,Arizona,Rock Springs,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Rock Springs_Plant-angiosperm
LG0905,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0915,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0919,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0920,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0926,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0929,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0930,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0931,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0939,Arizona,"Tucson, First/River/CAC",Larrea tridentata,Zygophyllaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
LG0946,Arizona,Phoenix,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Phoenix_Plant-angiosperm
LG0964,Arizona,"Phoenix, west",Larrea tridentata,Zygophyllaceae,Plant-angiosperm,"Phoenix, west_Plant-angiosperm"
LG0980,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0981,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0983,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0985,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0986,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0997,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG0998,Arizona,Tucson Mountains,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm
LG1000,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1014,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1015,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1023,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1024,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1025,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1027,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1028,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1048,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1049,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1057,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1059,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1060,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1070,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1073,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1077,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1081,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1084,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1085,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1086,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1089,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1091,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1094,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1095,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1107,Arizona,Catalina,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Catalina_Plant-angiosperm
LG1109,Arizona,Catalina,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Catalina_Plant-angiosperm
LG1113,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1114,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1116,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1118,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1119,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1120,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1121,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1122,Arizona,Picacho Peak,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Picacho Peak_Plant-angiosperm
LG1126,Arizona,Catalina,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Catalina_Plant-angiosperm
LG1128,Arizona,Vail,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Vail_Plant-angiosperm
LG1129,Arizona,Catalina,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Catalina_Plant-angiosperm
LG1130,Arizona,Catalina,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Catalina_Plant-angiosperm
LG1162,Arizona,Catalina,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Catalina_Plant-angiosperm
LG1180,Arizona,Casa Grande,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Casa Grande_Plant-angiosperm
LG1182,Arizona,Casa Grande,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Casa Grande_Plant-angiosperm
LG1185,Arizona,Sahuarita,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Sahuarita_Plant-angiosperm
