"","Location","Mean_annual_temperature","Mean_precipitation_driest_quarter","Mean_precipitation_wettest_quarter","Mean_annual_precipitation","ln_richness"
"Location",1,-0.172260278881974,-0.140513637039311,0.200425902819586,-0.0772235213154708,-0.299008817734777
"Mean_annual_temperature",-0.172260278881974,1,-0.63246469494587,-0.410415785155399,-0.390120672912378,-0.146879057385775
"Mean_precipitation_driest_quarter",-0.140513637039311,-0.63246469494587,1,0.468700326717253,0.670008432286563,0.571919637758407
"Mean_precipitation_wettest_quarter",0.200425902819586,-0.410415785155399,0.468700326717253,1,0.701034260678362,0.265729851017185
"Mean_annual_precipitation",-0.0772235213154708,-0.390120672912378,0.670008432286563,0.701034260678362,1,0.501857929564465
"ln_richness",-0.299008817734777,-0.146879057385775,0.571919637758407,0.265729851017185,0.501857929564465,1
