otu,Phylum.level.assignment,Class.level.assignment,Most.common.order.level.assignment,Most.common.family.level.assignment,Most.common.Genus.level.assignment,Arizona
OTU167,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thielavia,4
OTU171,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Sordaria,4
OTU240,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,4
OTU246,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,4
OTU322,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Cryptosphaeria,4
OTU338,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Cryptosphaeria,4
OTU57,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,4
OTU6,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,4
OTU99,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,4
OTU104,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleospora,5
OTU161,Ascomycota,unclassified,unclassified,unclassified,Saitoella,5
OTU187,Ascomycota,Neolectomycetes,Neolectales,Neolectaceae,Neolecta,5
OTU191,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,5
OTU24,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,5
OTU0,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,6
OTU178,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,6
OTU23,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,6
OTU72,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium,6
OTU90,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,6
OTU15,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,7
OTU185,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,7
OTU196,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Sordaria,7
OTU317,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,7
OTU48,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,7
OTU49,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Cyclaneusma,7
OTU287,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,8
OTU323,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,8
OTU80,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,8
OTU96,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,unclassified,8
OTU123,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,9
OTU131,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,9
OTU163,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,9
OTU192,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,9
OTU29,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Sordaria,9
OTU58,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,9
OTU66,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,9
OTU27,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,10
OTU93,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,10
OTU118,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,11
OTU198,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Geniculisynnema,11
OTU312,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,11
OTU32,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,11
OTU47,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,12
OTU55,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,12
OTU5,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neomicrosphaeropsis,14
OTU77,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,15
OTU124,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,16
OTU17,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,16
OTU328,Ascomycota,unclassified,unclassified,unclassified,Saitoella,16
OTU89,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,16
OTU217,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,18
OTU173,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,19
OTU314,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,19
OTU13,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,20
OTU50,Ascomycota,Eurotiomycetes,Phaeomoniellales,Phaeomoniellaceae,Aequabiliella,20
OTU249,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,21
OTU313,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,21
OTU31,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,22
OTU38,Ascomycota,Eurotiomycetes,Phaeomoniellales,unclassified,Neophaeomoniella,23
OTU69,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,25
OTU8,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,25
OTU224,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,31
OTU9,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,37
OTU42,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,51
OTU28,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,79
OTU75,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,79
OTU316,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,94
OTU44,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,168
OTU21,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,279
OTU67,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,285
