"","ln_richness","Location","Latitude","Longitude","Mean_annual_temperature","Mean_precipitation_driest_quarter","Mean_precipitation_wettest_quarter","Mean_annual_precipitation"
"ln_richness",1,-0.557364727505516,-0.249737545269422,0.384641221760215,-0.041422679423567,0.424511143233599,-0.0863291145558054,0.101032585345802
"Location",-0.557364727505516,1,0.589161132178758,-0.812726714036626,0.255824943696982,-0.523694420261832,0.253457303308751,-0.0375686026218336
"Latitude",-0.249737545269422,0.589161132178758,1,-0.948216625480966,0.413662982513337,-0.44872935146698,0.0987221715914855,0.246272115460497
"Longitude",0.384641221760215,-0.812726714036626,-0.948216625480966,1,-0.397180294353225,0.51773131702004,-0.175095300493534,-0.162989193892337
"Mean_annual_temperature",-0.041422679423567,0.255824943696982,0.413662982513337,-0.397180294353225,1,-0.789812375923582,-0.425146442158187,-0.621970753721757
"Mean_precipitation_driest_quarter",0.424511143233599,-0.523694420261832,-0.44872935146698,0.51773131702004,-0.789812375923582,1,0.182718781597891,0.465138451891427
"Mean_precipitation_wettest_quarter",-0.0863291145558054,0.253457303308751,0.0987221715914855,-0.175095300493534,-0.425146442158187,0.182718781597891,1,0.721115925073616
"Mean_annual_precipitation",0.101032585345802,-0.0375686026218336,0.246272115460497,-0.162989193892337,-0.621970753721757,0.465138451891427,0.721115925073616,1
