Query sequence,Most common phylum-level assignment,Most common class-level assignment,Most common order-level assignment,Most common family-level assignment,Most common Genus-level assignment,Taxon assignment,Likelihood weight,otu,ITS length
6367,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999999,OTU0,521
6368,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,"Cladosporium_cladosporioides,Cladosporium_allicinum",0.958121,OTU1,431
6369-F,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,"Sydowia_polyspora,Delphinella_strobiligena",0.992893,OTU2,555
6370,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_lini,"0.319863, 0.319840, 0.319835",OTU3,599
6371,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,"Sydowia_polyspora,Delphinella_strobiligena",0.992716,OTU4,606
6372-F,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_pisi,"0.467982, 0.144486, 0.082302, 0.067918, 0.056052, 0.052039, 0.034603, 0.030718, 0.016864",OTU5,540
6373,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,"Nothophoma_infossa,Xenodidymella_asphodeli","0.424013, 0.178821, 0.170026, 0.161955, 0.016861",OTU6,618
6374,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,"Nothophoma_infossa,Xenodidymella_asphodeli","0.488491, 0.213033, 0.202949, 0.031068, 0.017111",OTU6,545
6375,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,"Nothophoma_infossa,Xenodidymella_asphodeli","0.480681, 0.218154, 0.207840, 0.032642, 0.016034",OTU6,536
6376,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,"Nothophoma_infossa,Xenodidymella_asphodeli","0.483479, 0.216333, 0.206101, 0.032041, 0.016423",OTU6,508
6387,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_lini,"0.320568, 0.320548, 0.320535",OTU3,483
6388,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.956021,OTU7,578
6395,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.955833,OTU8,540
CM0018,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1059
CM0019,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1050
CM0020,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1051
CM0021,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1061
CM0022,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1057
CM0023,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,"Preussia_minima,Westerdykella_cylindrica","0.494577, 0.337979, 0.155420",OTU10,1041
CM0024,Ascomycota,Dothideomycetes,Stigmatodiscales,Stigmatodiscaceae,Stigmatodiscus,"Stigmatodiscus_enigmaticus,Asterodiscus_tamaricis","0.869416, 0.040615, 0.040073",OTU11,1570
CM0025,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1050
CM0026,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea,"Darksidea_epsilon,Murilentithecium_clematidis,Wettsteinina_lacustris,Darksidea_alpha","0.564946, 0.186628, 0.051808, 0.049399, 0.045216, 0.038039, 0.025728",OTU12,420
CM0027,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1051
CM0028,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,0.997436,OTU13,1072
CM0029,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1064
CM0030,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1040
CM0031,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,947
CM0032,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,999
CM0033,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,950
CM0034,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,978
CM0035,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1051
CM0036,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1051
CM0037,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1059
CM0038,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,"Coniochaeta_tetraspora,Coniochaeta_decumbens,Coniochaeta_discoidea","0.264192, 0.183980, 0.183971, 0.183940, 0.183917",OTU14,991
CM0039,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1013
CM0040,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema_domesticum,0.997481,OTU13,1071
CM0041,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.347293, 0.223275, 0.181675, 0.123131, 0.122644",OTU15,473
CM0042,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,"Peziza_lobulata,Peziza_praetervisa",0.96777,OTU16,1198
CM0043,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999998,OTU17,999
CM0044,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999993,OTU17,1035
CM0045,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999997,OTU17,999
CM0046,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,"Coniochaeta_tetraspora,Coniochaeta_decumbens,Coniochaeta_discoidea","0.556157, 0.155468, 0.140721, 0.073845, 0.073808",OTU14,1040
CM0047,Ascomycota,Eurotiomycetes,Phaeomoniellales,unclassified,Neophaeomoniella,Neophaeomoniella_zymoides,1,OTU18,983
CM0048,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,1,OTU17,1000
CM0049,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Phaeophleospora,Phaeophleospora_stramenti,"0.913374, 0.026520, 0.026324",OTU19,493
CM0050,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1013
CM0051,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,999
CM0052,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,999
CM0053,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Neocylindroseptoria_pistaciae,Dothidea_insculpta,Aureobasidium_lini,Delphinella_strobiligena,Dothidea_hippophaeos,Stylodothis_puccinioides,Dothiora_cannabinae,Sydowia_polyspora,Dothiora_ceratoniae,Dothidea_ribesia,Dothidea_sambuci","0.341569, 0.313656, 0.222485, 0.094027",OTU20,1065
CM0054,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999998,OTU17,999
CM0055,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Neocylindroseptoria_pistaciae,Dothidea_insculpta,Aureobasidium_lini,Delphinella_strobiligena,Dothidea_hippophaeos,Stylodothis_puccinioides,Dothiora_cannabinae,Sydowia_polyspora,Dothiora_ceratoniae,Dothidea_ribesia,Dothidea_sambuci","0.357921, 0.314784, 0.245995, 0.058148",OTU20,1059
CM0056,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,"Alternaria_cerealis,Alternaria_alstroemeriae,Alternaria_iridiaustralis,Alternaria_burnsii,Alternaria_sp,Alternaria_eichhorniae,Alternaria_daucifolii,Alternaria_alternata,Alternaria_arborescens,Alternaria_senecionicola,Alternaria_betae_kenyensis","0.059583, 0.056825, 0.056820, 0.056819, 0.056765, 0.052333, 0.052333, 0.051825, 0.051811, 0.051597, 0.051597",OTU21,1000
CM0058,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.507918, 0.247956, 0.191681, 0.025627",OTU15,1035
CM0059,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1051
CM0060,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,"Alternaria_cerealis,Alternaria_alstroemeriae,Alternaria_iridiaustralis,Alternaria_burnsii,Alternaria_sp,Alternaria_eichhorniae,Alternaria_daucifolii,Alternaria_alternata,Alternaria_arborescens,Alternaria_senecionicola,Alternaria_betae_kenyensis","0.059637, 0.056857, 0.056852, 0.056852, 0.056798, 0.052348, 0.052348, 0.051835, 0.051820, 0.051609, 0.051609",OTU21,1027
CM0061,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1059
CM0062,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.533665, 0.240266, 0.173573, 0.025680",OTU15,1014
CM0063,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,"Trichophaea_abundans,Anthracobia_subatra","0.511881, 0.432131, 0.023532",OTU22,1121
CM0064,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1062
CM0065,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,"Pyronema_omphalodes,Pyronema_domesticum",0.965177,OTU23,1067
CM0066,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,"Tricharina_gilva,Tricharina_praecox,Tricharina_praecox_var_praecox,Geopora_cooperi,Tricharina_ochroleuca","0.490905, 0.443925, 0.026218",OTU22,1149
CM0067,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,Tricharina_ochroleuca,1,OTU24,1059
CM0068,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,"Pyronema_omphalodes,Pyronema_domesticum",0.968622,OTU23,1084
CM0069,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,"Sarcoscypha_austriaca,Sarcoscypha_coccinea,Pseudopithyella_minuscula","0.473186, 0.081008, 0.057497, 0.056658, 0.055756, 0.055756, 0.055756, 0.055756, 0.055753, 0.016470",OTU25,1104
CM0070,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,"Pyronema_omphalodes,Pyronema_domesticum",0.965177,OTU23,1070
CM0071,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1055
CM0072,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,"Trichophaea_abundans,Anthracobia_subatra","0.612533, 0.249172, 0.040200, 0.037260, 0.034259",OTU26,1115
CM0073,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,978
CM0074,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1051
CM0075,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999988,OTU17,1033
CM0076,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1051
CM0077,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,Tricharina_ochroleuca,1,OTU24,1059
CM0078,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.564542, 0.224079, 0.174630",OTU15,1031
CM0079,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.643638, 0.165524, 0.159911",OTU15,926
CM0080,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1055
CM0081,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1059
CM0082,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.613715, 0.175139, 0.157467, 0.025514",OTU15,1011
CM0083,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.570005, 0.221458, 0.172931",OTU15,1035
CM0084,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.996552,OTU27,1011
CM0085,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,"Pyronema_omphalodes,Pyronema_domesticum",0.972445,OTU23,1081
CM0086,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.717843, 0.147928, 0.131964",OTU28,958
CM0087,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,949
CM0088,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,895
CM0089,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,903
CM0090,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.996541,OTU27,953
CM0091,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Sordaria,"Sordaria_macrospora,Sordaria_lappae","0.415942, 0.248182, 0.239747, 0.094558",OTU29,937
CM0092,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,998
CM0093,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,999
DF0001,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Dothidea_insculpta,Dothidea_hippophaeos,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci","0.515820, 0.184055, 0.151293, 0.082090, 0.051641",OTU30,1041
DF0002,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,"Fusichalara_minuta,Sclerococcum_sphaerale,Sphinctrina_turbinata,Stenocybe_pullatula,Chaenothecopsis_savonica,Sclerococcum_mangrovei,Sclerococcum_ricasoliae,Mycocalicium_polyporaeum,Rhopalophora_clavispora,Sclerococcum_heliotrephum,Monodictys_cf_fuliginosa","0.240460, 0.208822, 0.208700, 0.142720, 0.093949, 0.084239",OTU31,944
DF0003,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,"Fusichalara_minuta,Sclerococcum_sphaerale,Sphinctrina_turbinata,Stenocybe_pullatula,Chaenothecopsis_savonica,Sclerococcum_mangrovei,Sclerococcum_ricasoliae,Mycocalicium_polyporaeum,Rhopalophora_clavispora,Sclerococcum_heliotrephum,Monodictys_cf_fuliginosa","0.239093, 0.210458, 0.210334, 0.148444, 0.089826, 0.081117",OTU31,934
DF0004,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.319760, 0.156077, 0.140562, 0.140482, 0.117437, 0.051436, 0.018175, 0.014530",OTU31,987
DF0005,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.521716, 0.187169, 0.175215, 0.054641, 0.054122",OTU32,999
DF0006,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,"Fusichalara_minuta,Sclerococcum_sphaerale,Sphinctrina_turbinata,Stenocybe_pullatula,Chaenothecopsis_savonica,Sclerococcum_mangrovei,Sclerococcum_ricasoliae,Mycocalicium_polyporaeum,Rhopalophora_clavispora,Sclerococcum_heliotrephum,Monodictys_cf_fuliginosa","0.231650, 0.209367, 0.209229, 0.181151, 0.076902, 0.072357",OTU31,925
DF0007,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.265269, 0.195674, 0.174644, 0.174546, 0.092115, 0.064295",OTU31,951
DF0008,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.458949, 0.126822, 0.116729, 0.116666, 0.085081, 0.040109, 0.012250",OTU31,967
DF0009,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.449202, 0.129469, 0.118891, 0.118827, 0.086809, 0.041002, 0.012374",OTU31,975
DF0010,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.324227, 0.175044, 0.160557, 0.160470, 0.086878, 0.054496",OTU31,962
DF0011,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.583893, 0.156047, 0.148022, 0.050092, 0.049520",OTU32,982
DF0012,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.254520, 0.200545, 0.183205, 0.183098, 0.085729, 0.060890",OTU31,943
DF0013,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.585465, 0.155964, 0.147533, 0.049480, 0.048917",OTU32,979
DF0014,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.251503, 0.200163, 0.176909, 0.176810, 0.094833, 0.066561",OTU31,949
DF0015,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,"Fusichalara_minuta,Sclerococcum_sphaerale,Sphinctrina_turbinata,Stenocybe_pullatula,Chaenothecopsis_savonica,Sclerococcum_mangrovei,Sclerococcum_ricasoliae,Mycocalicium_polyporaeum,Rhopalophora_clavispora,Sclerococcum_heliotrephum,Monodictys_cf_fuliginosa","0.215412, 0.197609, 0.197526, 0.143455, 0.105213, 0.070402, 0.019109, 0.015911",OTU31,1033
DF0016,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,"Fusichalara_minuta,Sclerococcum_sphaerale,Sphinctrina_turbinata,Stenocybe_pullatula,Chaenothecopsis_savonica,Sclerococcum_mangrovei,Sclerococcum_ricasoliae,Mycocalicium_polyporaeum,Rhopalophora_clavispora,Sclerococcum_heliotrephum,Monodictys_cf_fuliginosa","0.235601, 0.209244, 0.209119, 0.162843, 0.085269, 0.077642",OTU31,933
DF0017,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.456007, 0.127648, 0.117504, 0.117440, 0.085456, 0.040306, 0.012272",OTU31,970
DF0018,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,"Fusichalara_minuta,Sclerococcum_sphaerale,Sphinctrina_turbinata,Stenocybe_pullatula,Chaenothecopsis_savonica,Sclerococcum_mangrovei,Sclerococcum_ricasoliae,Mycocalicium_polyporaeum,Rhopalophora_clavispora,Sclerococcum_heliotrephum,Monodictys_cf_fuliginosa","0.215773, 0.198121, 0.198024, 0.142378, 0.104410, 0.069657, 0.018703, 0.015563",OTU31,1035
DF0019,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.341618, 0.169334, 0.156215, 0.156131, 0.085235, 0.052026",OTU31,966
DF0020,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,"Fusichalara_minuta,Sclerococcum_sphaerale,Sphinctrina_turbinata,Stenocybe_pullatula,Chaenothecopsis_savonica,Sclerococcum_mangrovei,Sclerococcum_ricasoliae,Mycocalicium_polyporaeum,Rhopalophora_clavispora,Sclerococcum_heliotrephum,Monodictys_cf_fuliginosa","0.196554, 0.180897, 0.180820, 0.178215, 0.131057, 0.064034, 0.018391, 0.014765",OTU31,1032
DF0021,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.552246, 0.163705, 0.157589, 0.058359, 0.057719",OTU32,997
DF0022,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.552138, 0.163704, 0.157620, 0.058404, 0.057763",OTU32,998
DF0023,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.325104, 0.152800, 0.138504, 0.138428, 0.117376, 0.050875, 0.019140, 0.015371",OTU31,989
DF0024,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.401389, 0.139943, 0.129262, 0.129193, 0.094100, 0.043983, 0.013735",OTU31,981
DF0025,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.456800, 0.128196, 0.118170, 0.118106, 0.085286, 0.040253, 0.012204",OTU31,967
DF0026,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.493139, 0.121111, 0.113566, 0.113502, 0.073829, 0.035324",OTU31,961
DF0027,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,"Fusichalara_minuta,Sclerococcum_sphaerale,Sphinctrina_turbinata,Stenocybe_pullatula,Chaenothecopsis_savonica,Sclerococcum_mangrovei,Sclerococcum_ricasoliae,Mycocalicium_polyporaeum,Rhopalophora_clavispora,Sclerococcum_heliotrephum,Monodictys_cf_fuliginosa","0.235210, 0.207106, 0.206989, 0.158177, 0.090894, 0.080992",OTU31,944
DF0028,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.423446, 0.138432, 0.130135, 0.130054, 0.080685, 0.038922, 0.010344",OTU31,962
DF0029,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,"Humicola_fuscoatra,Chaetomium_homopilatum","0.805098, 0.129949, 0.064952",OTU33,993
DF0030,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.530409, 0.186988, 0.171977, 0.051488, 0.051076",OTU32,1013
